id;name;jhi_type;jhi_value;avg;created_by;created_date;last_modified_by;last_modified_date
1;mobile Fish;AVG;5472616365;Savings Account alarm;Tasty Metal Bacon;2019-06-04T10:51:38;Electronics;2019-06-04T09:34:22
2;Money Market Account;AVG;4e616d69626961;Steel zero administration;Multi-channelled Licensed;2019-06-04T18:32:40;syndicate;2019-06-04T09:47:18
3;Canyon HDD;AVG;656e766973696f6e656572204d75736963205075626c69632d6b6579;infomediaries;Investment Account;2019-06-04T13:23:21;Salad;2019-06-05T00:00:01
4;Tuna;AVG;496e647573747269616c;connect Markets Chief;capacitor archive;2019-06-04T19:41:42;Aruba;2019-06-04T10:19:04
5;navigating;AVG;486f6d65204c6f616e204163636f756e74;Plastic;Car Industrial deliverables;2019-06-04T23:54:31;24 hour;2019-06-05T09:02:52
6;magenta monitor 1080p;AVG;67656e65726174696e672048696768776179204572676f6e6f6d6963;moratorium moratorium;New York tangible Mississippi;2019-06-05T00:11:44;Developer;2019-06-04T13:00:43
7;hard drive Robust Networked;AVG;536d616c6c20706172746e65727368697073;Outdoors;Harbor Montana;2019-06-04T16:41:36;Concrete Investment Account Saint Lucia;2019-06-05T04:30:44
8;Brand;AVG;4175746f204c6f616e204163636f756e74206d6f64756c617220526566696e6564;digital maroon;EXE projection Fresh;2019-06-05T00:50:04;Direct;2019-06-05T02:51:16
9;withdrawal;AVG;6162696c697479204861742049726171;magenta Concrete;User-centric Gloves;2019-06-05T04:08:07;Oklahoma facilitate;2019-06-05T07:49:42
10;Versatile Exclusive Moroccan Dirham;AVG;416e616c79737420706172616469676d73;encompassing;deposit Canadian Dollar Lebanon;2019-06-04T22:38:20;Dominican Republic Credit Card Account Handmade;2019-06-05T00:30:50
